transaction_id,user_id,plan_id,billing_date,amount_paid,payment_status
50126,1019,1,2026-04-19,29.0,Success
50127,1019,1,2026-05-19,29.0,Success
50128,1020,1,2026-01-21,29.0,Success
50129,1020,1,2026-02-20,29.0,Success
50130,1020,1,2026-03-22,29.0,Success
50131,1021,2,2025-07-11,79.0,Success
50132,1021,2,2025-08-10,79.0,Success
50133,1021,2,2025-09-09,79.0,Success
50134,1021,2,2025-10-09,79.0,Success
50135,1021,2,2025-11-08,79.0,Success
50136,1021,2,2025-12-08,79.0,Success
50137,1021,2,2026-01-07,79.0,Success
50138,1021,2,2026-02-06,79.0,Success
50139,1021,2,2026-03-08,79.0,Success
50140,1021,2,2026-04-07,79.0,Success
50141,1021,2,2026-05-07,79.0,Success
50142,1022,2,2025-10-04,79.0,Success
50143,1022,2,2025-11-03,79.0,Success
50144,1022,2,2025-12-03,79.0,Success
50145,1022,2,2026-01-02,79.0,Success
50146,1022,2,2026-02-01,79.0,Success
50147,1022,2,2026-03-03,79.0,Success
50148,1022,2,2026-04-02,79.0,Success
50149,1022,2,2026-05-02,79.0,Success
50150,1023,1,2025-06-10,29.0,Success
50151,1023,1,2025-07-10,29.0,Success
50152,1023,1,2025-08-09,29.0,Success
50153,1023,1,2025-09-08,29.0,Success
50154,1023,1,2025-10-08,29.0,Success
50155,1023,1,2025-11-07,29.0,Success
50156,1023,1,2025-12-07,29.0,Success
50157,1023,1,2026-01-06,29.0,Success
50158,1023,1,2026-02-05,29.0,Success
50159,1023,1,2026-03-07,29.0,Success
50160,1023,1,2026-04-06,29.0,Success
50161,1023,1,2026-05-06,29.0,Success
50162,1024,1,2026-04-05,29.0,Success
50163,1024,1,2026-05-05,0.0,Failed
50164,1025,2,2025-11-10,79.0,Success
50165,1025,2,2025-12-10,79.0,Success
50166,1025,2,2026-01-09,79.0,Success
50167,1025,2,2026-02-08,79.0,Success
50168,1025,2,2026-03-10,79.0,Success
50169,1025,2,2026-04-09,79.0,Success
50170,1025,2,2026-05-09,79.0,Success
50171,1026,2,2025-01-22,79.0,Success
50172,1026,2,2025-02-21,79.0,Success
50173,1026,2,2025-03-23,79.0,Success
50174,1026,2,2025-04-22,79.0,Success
50175,1026,2,2025-05-22,0.0,Failed
50176,1026,2,2025-06-21,79.0,Success
50177,1026,2,2025-07-21,79.0,Success
50178,1026,2,2025-08-20,79.0,Success
50179,1026,2,2025-09-19,0.0,Failed
50180,1026,2,2025-10-19,79.0,Success
50181,1026,2,2025-11-18,79.0,Success
50182,1026,2,2025-12-18,79.0,Success
50183,1026,2,2026-01-17,79.0,Success
50184,1026,2,2026-02-16,79.0,Success
50185,1026,2,2026-03-18,79.0,Success
50186,1026,2,2026-04-17,79.0,Success
50187,1026,2,2026-05-17,79.0,Success
50188,1027,1,2025-09-10,29.0,Success
50189,1027,1,2025-10-10,29.0,Success
50190,1027,1,2025-11-09,29.0,Success
50191,1027,1,2025-12-09,29.0,Success
50192,1027,1,2026-01-08,29.0,Success
50193,1027,1,2026-02-07,29.0,Success
50194,1027,1,2026-03-09,29.0,Success
50195,1027,1,2026-04-08,0.0,Failed
50196,1027,1,2026-05-08,29.0,Success
50197,1028,3,2026-04-20,149.0,Success
50198,1028,3,2026-05-20,149.0,Success
50199,1029,1,2025-02-28,29.0,Success
50200,1029,1,2025-03-30,29.0,Success
50201,1029,1,2025-04-29,29.0,Success
50202,1029,1,2025-05-29,29.0,Success
50203,1029,1,2025-06-28,29.0,Success
50204,1029,1,2025-07-28,29.0,Success
50205,1029,1,2025-08-27,29.0,Success
50206,1029,1,2025-09-26,29.0,Success
50207,1029,1,2025-10-26,29.0,Success
50208,1029,1,2025-11-25,29.0,Success
50209,1029,1,2025-12-25,29.0,Success
50210,1029,1,2026-01-24,29.0,Success
50211,1030,1,2026-05-26,29.0,Success
50212,1031,3,2026-04-21,149.0,Success
50213,1031,3,2026-05-21,149.0,Success
50214,1032,1,2025-07-09,29.0,Success
50215,1032,1,2025-08-08,29.0,Success
50216,1032,1,2025-09-07,29.0,Success
50217,1032,1,2025-10-07,29.0,Success
50218,1032,1,2025-11-06,29.0,Success
50219,1032,1,2025-12-06,29.0,Success
50220,1032,1,2026-01-05,29.0,Success
50221,1032,1,2026-02-04,29.0,Success
50222,1032,1,2026-03-06,29.0,Success
50223,1032,1,2026-04-05,29.0,Success
50224,1032,1,2026-05-05,29.0,Success
50225,1033,2,2025-09-01,79.0,Success
50226,1033,2,2025-10-01,79.0,Success
50227,1033,2,2025-10-31,79.0,Success
50228,1033,2,2025-11-30,79.0,Success
50229,1033,2,2025-12-30,79.0,Success
50230,1033,2,2026-01-29,79.0,Success
50231,1033,2,2026-02-28,79.0,Success
50232,1033,2,2026-03-30,79.0,Success
50233,1033,2,2026-04-29,79.0,Success
50234,1033,2,2026-05-29,79.0,Success
50235,1034,1,2026-05-20,29.0,Success
50236,1035,1,2025-05-11,29.0,Success
50237,1035,1,2025-06-10,29.0,Success
50238,1035,1,2025-07-10,29.0,Success
50239,1035,1,2025-08-09,29.0,Success
50240,1035,1,2025-09-08,29.0,Success
50241,1035,1,2025-10-08,29.0,Success
50242,1035,1,2025-11-07,29.0,Success
50243,1035,1,2025-12-07,29.0,Success
50244,1035,1,2026-01-06,0.0,Failed
50245,1035,1,2026-02-05,29.0,Success
50246,1035,1,2026-03-07,29.0,Success
50247,1035,1,2026-04-06,0.0,Failed
50248,1036,3,2026-04-30,149.0,Success
50249,1036,3,2026-05-30,0.0,Failed
50250,1037,1,2025-01-21,0.0,Failed
50251,1037,1,2025-02-20,29.0,Success
50252,1037,1,2025-03-22,29.0,Success
50253,1037,1,2025-04-21,29.0,Success
50254,1037,1,2025-05-21,29.0,Success
50255,1037,1,2025-06-20,29.0,Success
50256,1037,1,2025-07-20,29.0,Success
50257,1037,1,2025-08-19,29.0,Success
50258,1037,1,2025-09-18,29.0,Success
50259,1037,1,2025-10-18,29.0,Success
50260,1037,1,2025-11-17,29.0,Success
50261,1037,1,2025-12-17,29.0,Success
50262,1037,1,2026-01-16,29.0,Success
50263,1037,1,2026-02-15,29.0,Success
50264,1037,1,2026-03-17,29.0,Success
50265,1037,1,2026-04-16,29.0,Success
50266,1037,1,2026-05-16,29.0,Success
50267,1038,3,2025-06-16,149.0,Success
50268,1038,3,2025-07-16,149.0,Success
50269,1038,3,2025-08-15,149.0,Success
50270,1038,3,2025-09-14,149.0,Success
50271,1038,3,2025-10-14,149.0,Success
50272,1038,3,2025-11-13,149.0,Success
50273,1038,3,2025-12-13,149.0,Success
50274,1038,3,2026-01-12,149.0,Success
50275,1038,3,2026-02-11,149.0,Success
50276,1038,3,2026-03-13,149.0,Success
50277,1038,3,2026-04-12,149.0,Success
50278,1038,3,2026-05-12,149.0,Success
50279,1039,1,2025-10-01,29.0,Success
50280,1039,1,2025-10-31,29.0,Success
50281,1039,1,2025-11-30,29.0,Success
50282,1039,1,2025-12-30,29.0,Success
50283,1039,1,2026-01-29,29.0,Success
50284,1039,1,2026-02-28,0.0,Failed
50285,1039,1,2026-03-30,29.0,Success
50286,1039,1,2026-04-29,29.0,Success
50287,1039,1,2026-05-29,29.0,Success
50288,1040,1,2026-01-23,29.0,Success
50289,1040,1,2026-02-22,29.0,Success
50290,1040,1,2026-03-24,29.0,Success
50291,1040,1,2026-04-23,0.0,Failed
50292,1040,1,2026-05-23,29.0,Success
50293,1041,1,2025-11-12,29.0,Success
50294,1041,1,2025-12-12,29.0,Success
50295,1041,1,2026-01-11,29.0,Success
50296,1041,1,2026-02-10,29.0,Success
50297,1041,1,2026-03-12,29.0,Success
50298,1041,1,2026-04-11,29.0,Success
50299,1041,1,2026-05-11,29.0,Success
50300,1042,2,2025-01-14,79.0,Success
50301,1042,2,2025-02-13,79.0,Success
50302,1042,2,2025-03-15,79.0,Success
50303,1042,2,2025-04-14,79.0,Success
50304,1042,2,2025-05-14,79.0,Success
50305,1042,2,2025-06-13,79.0,Success
50306,1042,2,2025-07-13,79.0,Success
50307,1042,2,2025-08-12,79.0,Success
50308,1042,2,2025-09-11,79.0,Success
50309,1042,2,2025-10-11,79.0,Success
50310,1042,2,2025-11-10,79.0,Success
50311,1042,2,2025-12-10,79.0,Success
50312,1042,2,2026-01-09,79.0,Success
50313,1042,2,2026-02-08,79.0,Success
50314,1042,2,2026-03-10,79.0,Success
50315,1042,2,2026-04-09,79.0,Success
50316,1042,2,2026-05-09,79.0,Success
50317,1043,1,2025-08-30,29.0,Success
50318,1043,1,2025-09-29,29.0,Success
50319,1043,1,2025-10-29,29.0,Success
50320,1043,1,2025-11-28,29.0,Success
50321,1043,1,2025-12-28,29.0,Success
50322,1043,1,2026-01-27,29.0,Success
50323,1044,3,2025-12-12,149.0,Success
50324,1044,3,2026-01-11,0.0,Failed
50325,1044,3,2026-02-10,149.0,Success
50326,1044,3,2026-03-12,149.0,Success
50327,1044,3,2026-04-11,149.0,Success
50328,1044,3,2026-05-11,149.0,Success
50329,1045,1,2025-12-06,29.0,Success
50330,1045,1,2026-01-05,29.0,Success
50331,1045,1,2026-02-04,29.0,Success
50332,1045,1,2026-03-06,29.0,Success
50333,1045,1,2026-04-05,29.0,Success
50334,1045,1,2026-05-05,29.0,Success
50335,1046,3,2025-04-02,149.0,Success
50336,1046,3,2025-05-02,149.0,Success
50337,1046,3,2025-06-01,149.0,Success
50338,1047,1,2026-01-02,29.0,Success
50339,1047,1,2026-02-01,29.0,Success
50340,1047,1,2026-03-03,29.0,Success
50341,1047,1,2026-04-02,29.0,Success
50342,1047,1,2026-05-02,29.0,Success
50343,1048,3,2026-03-31,149.0,Success
50344,1048,3,2026-04-30,149.0,Success
50345,1048,3,2026-05-30,0.0,Failed
50346,1049,2,2026-03-04,79.0,Success
50347,1049,2,2026-04-03,79.0,Success
50348,1049,2,2026-05-03,79.0,Success
50349,1050,2,2026-05-24,79.0,Success
50350,1051,2,2025-02-04,79.0,Success
50351,1051,2,2025-03-06,79.0,Success
50352,1051,2,2025-04-05,79.0,Success
50353,1052,2,2025-07-25,79.0,Success
50354,1052,2,2025-08-24,79.0,Success
50355,1052,2,2025-09-23,79.0,Success
50356,1052,2,2025-10-23,79.0,Success
50357,1052,2,2025-11-22,79.0,Success
50358,1052,2,2025-12-22,79.0,Success
50359,1052,2,2026-01-21,0.0,Failed
50360,1052,2,2026-02-20,79.0,Success
50361,1052,2,2026-03-22,0.0,Failed
50362,1052,2,2026-04-21,0.0,Failed
50363,1052,2,2026-05-21,79.0,Success
50364,1053,2,2025-03-22,79.0,Success
50365,1053,2,2025-04-21,79.0,Success
50366,1053,2,2025-05-21,79.0,Success
50367,1053,2,2025-06-20,79.0,Success
50368,1053,2,2025-07-20,79.0,Success
50369,1053,2,2025-08-19,79.0,Success
50370,1053,2,2025-09-18,79.0,Success
50371,1053,2,2025-10-18,79.0,Success
50372,1053,2,2025-11-17,79.0,Success
50373,1053,2,2025-12-17,79.0,Success
50374,1053,2,2026-01-16,79.0,Success
50375,1053,2,2026-02-15,79.0,Success
50376,1054,1,2026-01-23,29.0,Success
50377,1054,1,2026-02-22,29.0,Success
50378,1054,1,2026-03-24,29.0,Success
50379,1054,1,2026-04-23,29.0,Success
50380,1054,1,2026-05-23,29.0,Success
50381,1055,1,2025-01-02,29.0,Success
50382,1055,1,2025-02-01,29.0,Success
50383,1055,1,2025-03-03,29.0,Success
50384,1055,1,2025-04-02,29.0,Success
50385,1055,1,2025-05-02,29.0,Success
50386,1055,1,2025-06-01,29.0,Success
50387,1056,3,2026-01-25,149.0,Success
50388,1056,3,2026-02-24,149.0,Success
50389,1056,3,2026-03-26,149.0,Success
50390,1057,2,2025-04-16,79.0,Success
50391,1057,2,2025-05-16,79.0,Success
50392,1057,2,2025-06-15,79.0,Success
50393,1057,2,2025-07-15,79.0,Success
50394,1057,2,2025-08-14,79.0,Success
50395,1057,2,2025-09-13,79.0,Success
50396,1058,2,2026-04-22,79.0,Success
50397,1058,2,2026-05-22,0.0,Failed
50398,1059,1,2026-02-06,29.0,Success
50399,1059,1,2026-03-08,29.0,Success
50400,1059,1,2026-04-07,29.0,Success
50401,1059,1,2026-05-07,29.0,Success
50402,1060,1,2025-06-11,0.0,Failed
50403,1060,1,2025-07-11,29.0,Success
50404,1060,1,2025-08-10,29.0,Success
50405,1060,1,2025-09-09,29.0,Success
50406,1060,1,2025-10-09,29.0,Success
50407,1060,1,2025-11-08,29.0,Success
50408,1060,1,2025-12-08,29.0,Success
50409,1060,1,2026-01-07,29.0,Success
50410,1060,1,2026-02-06,29.0,Success
50411,1060,1,2026-03-08,29.0,Success
50412,1060,1,2026-04-07,29.0,Success
50413,1060,1,2026-05-07,29.0,Success
50414,1061,1,2025-07-21,29.0,Success
50415,1061,1,2025-08-20,29.0,Success
50416,1061,1,2025-09-19,29.0,Success
50417,1061,1,2025-10-19,29.0,Success
50418,1061,1,2025-11-18,29.0,Success
50419,1061,1,2025-12-18,29.0,Success
50420,1061,1,2026-01-17,29.0,Success
50421,1061,1,2026-02-16,29.0,Success
50422,1061,1,2026-03-18,29.0,Success
50423,1061,1,2026-04-17,29.0,Success
50424,1061,1,2026-05-17,29.0,Success
50425,1062,2,2025-09-27,79.0,Success
50426,1062,2,2025-10-27,79.0,Success
50427,1062,2,2025-11-26,79.0,Success
50428,1062,2,2025-12-26,79.0,Success
50429,1062,2,2026-01-25,79.0,Success
50430,1062,2,2026-02-24,79.0,Success
50431,1062,2,2026-03-26,79.0,Success
50432,1062,2,2026-04-25,0.0,Failed
50433,1062,2,2026-05-25,79.0,Success
50434,1063,1,2025-09-28,29.0,Success
50435,1063,1,2025-10-28,29.0,Success
50436,1063,1,2025-11-27,29.0,Success
50437,1063,1,2025-12-27,0.0,Failed
50438,1063,1,2026-01-26,29.0,Success
50439,1063,1,2026-02-25,29.0,Success
50440,1063,1,2026-03-27,29.0,Success
50441,1063,1,2026-04-26,0.0,Failed
50442,1063,1,2026-05-26,29.0,Success
50443,1064,1,2026-04-01,29.0,Success
50444,1064,1,2026-05-01,29.0,Success
50445,1064,1,2026-05-31,0.0,Failed
50446,1065,1,2026-04-07,29.0,Success
50447,1065,1,2026-05-07,29.0,Success
50448,1066,1,2025-09-09,0.0,Failed
50449,1066,1,2025-10-09,29.0,Success
50450,1066,1,2025-11-08,29.0,Success
50451,1066,1,2025-12-08,29.0,Success
50452,1066,1,2026-01-07,29.0,Success
50453,1066,1,2026-02-06,29.0,Success
50454,1066,1,2026-03-08,29.0,Success
50455,1066,1,2026-04-07,29.0,Success
50456,1066,1,2026-05-07,29.0,Success
50457,1067,2,2025-10-23,79.0,Success
50458,1067,2,2025-11-22,79.0,Success
50459,1067,2,2025-12-22,79.0,Success
50460,1067,2,2026-01-21,79.0,Success
50461,1067,2,2026-02-20,79.0,Success
50462,1067,2,2026-03-22,79.0,Success
50463,1067,2,2026-04-21,79.0,Success
50464,1067,2,2026-05-21,79.0,Success
50465,1068,1,2025-12-04,29.0,Success
50466,1068,1,2026-01-03,29.0,Success
50467,1068,1,2026-02-02,29.0,Success
50468,1068,1,2026-03-04,29.0,Success
50469,1068,1,2026-04-03,29.0,Success
50470,1068,1,2026-05-03,29.0,Success
50471,1069,2,2025-02-22,79.0,Success
50472,1069,2,2025-03-24,79.0,Success
50473,1069,2,2025-04-23,79.0,Success
50474,1069,2,2025-05-23,79.0,Success
50475,1069,2,2025-06-22,79.0,Success
50476,1069,2,2025-07-22,0.0,Failed
50477,1069,2,2025-08-21,0.0,Failed
50478,1069,2,2025-09-20,79.0,Success
50479,1069,2,2025-10-20,0.0,Failed
50480,1069,2,2025-11-19,79.0,Success
50481,1069,2,2025-12-19,79.0,Success
50482,1069,2,2026-01-18,79.0,Success
50483,1069,2,2026-02-17,79.0,Success
50484,1069,2,2026-03-19,79.0,Success
50485,1069,2,2026-04-18,79.0,Success
50486,1069,2,2026-05-18,79.0,Success
50487,1070,1,2025-08-05,29.0,Success
50488,1070,1,2025-09-04,29.0,Success
50489,1070,1,2025-10-04,29.0,Success
50490,1070,1,2025-11-03,29.0,Success
50491,1070,1,2025-12-03,29.0,Success
50492,1070,1,2026-01-02,29.0,Success
50493,1071,1,2025-07-07,29.0,Success
50494,1071,1,2025-08-06,29.0,Success
50495,1071,1,2025-09-05,29.0,Success
50496,1071,1,2025-10-05,29.0,Success
50497,1071,1,2025-11-04,29.0,Success
50498,1071,1,2025-12-04,29.0,Success
50499,1071,1,2026-01-03,29.0,Success
50500,1071,1,2026-02-02,29.0,Success
50501,1071,1,2026-03-04,29.0,Success
50502,1071,1,2026-04-03,29.0,Success
50503,1071,1,2026-05-03,0.0,Failed
50504,1072,1,2026-01-15,29.0,Success
50505,1072,1,2026-02-14,29.0,Success
50506,1072,1,2026-03-16,29.0,Success
50507,1072,1,2026-04-15,29.0,Success
50508,1072,1,2026-05-15,29.0,Success
50509,1073,1,2026-05-08,29.0,Success
50510,1074,1,2025-02-10,29.0,Success
50511,1074,1,2025-03-12,29.0,Success
50512,1074,1,2025-04-11,29.0,Success
50513,1074,1,2025-05-11,29.0,Success
50514,1074,1,2025-06-10,29.0,Success
50515,1074,1,2025-07-10,29.0,Success
50516,1074,1,2025-08-09,29.0,Success
50517,1074,1,2025-09-08,29.0,Success
50518,1074,1,2025-10-08,29.0,Success
50519,1074,1,2025-11-07,29.0,Success
50520,1074,1,2025-12-07,29.0,Success
50521,1074,1,2026-01-06,29.0,Success
50522,1075,1,2025-06-06,0.0,Failed
50523,1075,1,2025-07-06,29.0,Success
50524,1075,1,2025-08-05,29.0,Success
50525,1075,1,2025-09-04,0.0,Failed
50526,1075,1,2025-10-04,29.0,Success
50527,1075,1,2025-11-03,29.0,Success
50528,1076,2,2025-01-15,79.0,Success
50529,1076,2,2025-02-14,79.0,Success
50530,1076,2,2025-03-16,79.0,Success
50531,1076,2,2025-04-15,79.0,Success
50532,1076,2,2025-05-15,0.0,Failed
50533,1076,2,2025-06-14,79.0,Success
50534,1076,2,2025-07-14,79.0,Success
50535,1076,2,2025-08-13,79.0,Success
50536,1076,2,2025-09-12,79.0,Success
50537,1076,2,2025-10-12,79.0,Success
50538,1076,2,2025-11-11,79.0,Success
50539,1076,2,2025-12-11,79.0,Success
50540,1076,2,2026-01-10,79.0,Success
50541,1076,2,2026-02-09,79.0,Success
50542,1076,2,2026-03-11,79.0,Success
50543,1076,2,2026-04-10,79.0,Success
50544,1076,2,2026-05-10,79.0,Success
50545,1077,1,2025-03-06,29.0,Success
50546,1077,1,2025-04-05,29.0,Success
50547,1077,1,2025-05-05,29.0,Success
50548,1077,1,2025-06-04,29.0,Success
50549,1077,1,2025-07-04,29.0,Success
50550,1077,1,2025-08-03,29.0,Success
50551,1077,1,2025-09-02,29.0,Success
50552,1077,1,2025-10-02,29.0,Success
50553,1077,1,2025-11-01,29.0,Success
50554,1077,1,2025-12-01,29.0,Success
50555,1077,1,2025-12-31,29.0,Success
50556,1077,1,2026-01-30,29.0,Success
50557,1077,1,2026-03-01,29.0,Success
50558,1077,1,2026-03-31,29.0,Success
50559,1077,1,2026-04-30,29.0,Success
50560,1077,1,2026-05-30,29.0,Success
50561,1078,2,2025-12-10,0.0,Failed
50562,1078,2,2026-01-09,79.0,Success
50563,1078,2,2026-02-08,79.0,Success
50564,1078,2,2026-03-10,79.0,Success
50565,1078,2,2026-04-09,79.0,Success
50566,1078,2,2026-05-09,79.0,Success
50567,1079,3,2025-05-09,149.0,Success
50568,1079,3,2025-06-08,149.0,Success
50569,1079,3,2025-07-08,149.0,Success
50570,1079,3,2025-08-07,149.0,Success
50571,1079,3,2025-09-06,149.0,Success
50572,1079,3,2025-10-06,149.0,Success
50573,1080,2,2026-04-17,0.0,Failed
50574,1080,2,2026-05-17,79.0,Success
50575,1081,1,2025-03-04,29.0,Success
50576,1081,1,2025-04-03,29.0,Success
50577,1081,1,2025-05-03,29.0,Success
50578,1081,1,2025-06-02,29.0,Success
50579,1081,1,2025-07-02,29.0,Success
50580,1081,1,2025-08-01,29.0,Success
50581,1081,1,2025-08-31,29.0,Success
50582,1081,1,2025-09-30,29.0,Success
50583,1081,1,2025-10-30,29.0,Success
50584,1081,1,2025-11-29,29.0,Success
50585,1081,1,2025-12-29,29.0,Success
50586,1081,1,2026-01-28,29.0,Success
50587,1082,1,2025-05-19,29.0,Success
50588,1082,1,2025-06-18,29.0,Success
50589,1082,1,2025-07-18,29.0,Success
50590,1082,1,2025-08-17,29.0,Success
50591,1082,1,2025-09-16,0.0,Failed
50592,1082,1,2025-10-16,29.0,Success
50593,1082,1,2025-11-15,29.0,Success
50594,1082,1,2025-12-15,29.0,Success
50595,1082,1,2026-01-14,29.0,Success
50596,1082,1,2026-02-13,29.0,Success
50597,1082,1,2026-03-15,29.0,Success
50598,1082,1,2026-04-14,29.0,Success
50599,1083,1,2026-05-14,29.0,Success
50600,1084,1,2026-01-27,29.0,Success
50601,1084,1,2026-02-26,29.0,Success
50602,1084,1,2026-03-28,29.0,Success
50603,1084,1,2026-04-27,29.0,Success
50604,1084,1,2026-05-27,29.0,Success
50605,1085,3,2026-02-23,149.0,Success
50606,1085,3,2026-03-25,149.0,Success
50607,1085,3,2026-04-24,149.0,Success
50608,1085,3,2026-05-24,149.0,Success
50609,1086,1,2025-10-16,29.0,Success
50610,1086,1,2025-11-15,29.0,Success
50611,1086,1,2025-12-15,29.0,Success
50612,1086,1,2026-01-14,29.0,Success
50613,1086,1,2026-02-13,29.0,Success
50614,1086,1,2026-03-15,29.0,Success
50615,1086,1,2026-04-14,29.0,Success
50616,1086,1,2026-05-14,29.0,Success
50617,1087,1,2026-01-14,29.0,Success
50618,1087,1,2026-02-13,29.0,Success
50619,1087,1,2026-03-15,29.0,Success
50620,1087,1,2026-04-14,29.0,Success
50621,1087,1,2026-05-14,29.0,Success
50622,1088,2,2026-05-05,79.0,Success
50623,1089,2,2025-08-19,79.0,Success
50624,1089,2,2025-09-18,79.0,Success
50625,1089,2,2025-10-18,79.0,Success
50626,1089,2,2025-11-17,79.0,Success
50627,1089,2,2025-12-17,79.0,Success
50628,1089,2,2026-01-16,79.0,Success
50629,1089,2,2026-02-15,79.0,Success
50630,1089,2,2026-03-17,79.0,Success
50631,1089,2,2026-04-16,79.0,Success
