log_id,user_id,log_date,minutes_active,features_used,support_tickets_opened
900062,1013,2026-03-02,59,4,0
900063,1013,2026-05-10,92,7,0
900064,1013,2026-01-09,93,2,0
900065,1013,2026-04-18,116,7,0
900066,1014,2025-05-19,36,6,0
900067,1014,2025-04-17,117,1,1
900068,1014,2025-08-07,90,7,0
900069,1014,2025-06-02,44,3,0
900070,1014,2025-09-30,65,6,0
900071,1015,2025-12-17,79,1,0
900072,1015,2025-12-01,104,5,0
900073,1015,2026-01-31,32,1,0
900074,1015,2026-02-10,65,2,0
900075,1015,2026-05-14,30,4,0
900076,1016,2025-12-30,75,6,0
900077,1016,2026-03-16,31,3,1
900078,1016,2026-01-20,106,4,0
900079,1016,2025-12-26,41,5,0
900080,1016,2026-01-18,77,5,0
900081,1017,2026-03-09,117,5,0
900082,1017,2026-02-24,55,1,0
900083,1017,2026-05-10,21,5,1
900084,1017,2026-05-17,47,4,0
900085,1017,2026-05-13,98,1,0
900086,1018,2026-05-18,42,6,0
900087,1018,2026-05-19,50,5,0
900088,1018,2026-05-22,73,5,0
900089,1018,2026-05-19,108,3,0
900090,1018,2026-05-09,90,6,0
900091,1019,2026-05-14,100,4,0
900092,1019,2026-05-19,100,2,0
900093,1019,2026-05-04,46,7,0
900094,1019,2026-04-22,112,2,0
900095,1019,2026-03-09,99,3,1
900096,1020,2026-04-20,79,4,0
900097,1020,2026-02-06,58,2,0
900098,1020,2026-03-09,108,7,0
900099,1020,2026-02-07,25,2,0
900100,1020,2026-03-04,117,6,0
900101,1021,2025-09-18,24,7,0
900102,1021,2025-11-24,112,6,1
900103,1021,2025-08-25,27,3,0
900104,1021,2026-04-12,58,5,0
900105,1021,2026-01-04,52,7,1
900106,1022,2026-04-10,57,4,0
900107,1022,2026-03-14,49,1,1
900108,1022,2025-12-01,103,2,0
900109,1022,2025-11-17,78,6,0
900110,1022,2025-12-01,82,7,1
900111,1023,2026-04-25,25,2,0
900112,1023,2025-12-06,58,1,0
900113,1023,2026-02-01,74,1,0
900114,1023,2025-07-28,56,4,1
900115,1023,2025-07-03,26,7,0
900116,1024,2026-04-11,43,3,0
900117,1024,2026-04-13,82,4,0
900118,1024,2026-05-10,32,7,0
900119,1024,2026-04-23,58,1,0
900120,1024,2026-04-16,94,7,0
900121,1025,2025-12-08,35,7,0
900122,1025,2026-01-25,40,4,1
900123,1025,2026-03-13,27,5,0
900124,1025,2026-05-22,94,6,0
900125,1025,2026-01-09,102,6,0
900126,1026,2025-08-04,97,7,0
900127,1026,2026-05-11,112,4,0
900128,1026,2026-05-21,36,6,0
900129,1026,2025-06-23,105,5,0
900130,1026,2025-10-08,40,5,0
900131,1027,2026-01-07,111,3,0
900132,1027,2025-11-14,93,2,0
900133,1027,2026-02-06,110,5,0
900134,1027,2026-04-15,97,3,0
900135,1027,2026-05-06,113,3,0
900136,1028,2026-05-17,15,1,1
900137,1028,2026-05-29,29,7,1
900138,1028,2026-05-09,29,1,0
900139,1028,2026-05-23,15,4,0
900140,1028,2026-04-25,16,3,2
900141,1029,2025-10-31,84,4,0
900142,1029,2025-12-26,95,6,0
900143,1029,2025-11-21,58,7,0
900144,1029,2025-07-16,50,1,0
900145,1029,2025-07-18,77,1,0
900146,1030,2026-05-30,79,2,0
900147,1030,2026-05-28,89,3,0
900148,1030,2026-05-28,111,2,0
900149,1030,2026-05-26,90,7,0
900150,1030,2026-05-27,107,2,0
900151,1031,2026-05-16,113,2,0
900152,1031,2026-04-25,53,1,0
900153,1031,2026-05-09,39,5,0
900154,1031,2026-05-13,87,7,0
900155,1031,2026-05-02,101,1,0
900156,1032,2026-03-03,94,3,0
900157,1032,2025-12-18,56,1,0
900158,1032,2026-01-10,61,4,0
900159,1032,2026-04-19,29,3,0
900160,1032,2026-01-28,113,2,0
900161,1033,2025-10-19,103,5,0
900162,1033,2026-02-15,28,1,0
900163,1033,2026-01-28,62,7,0
900164,1033,2026-03-20,67,6,0
900165,1033,2026-04-27,88,1,0
900166,1034,2026-05-26,56,5,0
900167,1034,2026-05-20,105,6,0
900168,1034,2026-05-27,52,2,0
900169,1034,2026-05-23,93,4,0
900170,1034,2026-05-24,108,5,0
900171,1035,2026-03-31,41,1,0
900172,1035,2025-12-11,42,4,0
900173,1035,2026-02-15,25,7,0
900174,1035,2025-10-19,79,5,1
900175,1035,2026-03-11,79,6,0
900176,1036,2026-05-29,33,4,1
900177,1036,2026-05-03,27,2,0
900178,1036,2026-05-03,47,4,0
900179,1036,2026-05-29,95,3,0
900180,1036,2026-05-07,48,7,0
900181,1037,2025-09-18,42,5,0
900182,1037,2025-05-07,117,5,0
900183,1037,2026-02-22,61,3,0
900184,1037,2025-12-03,50,1,0
900185,1037,2026-05-30,27,5,1
900186,1038,2026-04-01,113,6,1
900187,1038,2026-05-07,113,2,0
900188,1038,2025-07-17,95,1,0
900189,1038,2026-02-15,69,5,0
900190,1038,2025-06-30,27,2,0
900191,1039,2026-03-03,50,2,0
900192,1039,2025-12-07,89,6,0
900193,1039,2026-04-14,36,3,0
900194,1039,2026-03-28,82,5,0
900195,1039,2025-12-14,44,3,0
900196,1040,2026-03-04,66,5,0
900197,1040,2026-04-21,35,1,0
900198,1040,2026-02-19,60,5,0
900199,1040,2026-02-22,73,2,0
900200,1040,2026-04-04,85,6,0
900201,1041,2026-03-29,33,6,0
900202,1041,2026-03-31,99,3,0
900203,1041,2026-05-24,60,3,0
900204,1041,2025-12-10,33,2,1
900205,1041,2026-05-07,77,2,0
900206,1042,2025-05-03,27,4,0
900207,1042,2025-06-17,66,6,0
900208,1042,2026-03-17,110,5,0
900209,1042,2026-03-25,87,3,0
900210,1042,2025-08-06,23,4,0
900211,1043,2025-11-25,96,5,1
900212,1043,2025-09-26,29,6,0
900213,1043,2025-10-26,33,5,0
900214,1043,2025-12-19,115,1,0
900215,1043,2026-01-21,81,5,0
900216,1044,2026-04-15,35,6,0
900217,1044,2026-02-08,82,6,0
900218,1044,2026-01-29,52,6,0
900219,1044,2026-02-25,111,6,0
900220,1044,2026-01-03,116,5,0
900221,1045,2026-05-26,114,6,0
900222,1045,2026-01-26,76,3,0
900223,1045,2026-02-09,52,1,0
900224,1045,2026-01-20,76,7,0
900225,1045,2026-04-17,108,6,0
900226,1046,2025-04-23,73,6,0
900227,1046,2025-05-07,101,3,0
900228,1046,2025-04-11,84,3,0
900229,1046,2025-05-28,24,7,0
900230,1046,2025-06-23,112,7,0
900231,1047,2026-05-03,45,2,0
900232,1047,2026-01-24,104,1,0
900233,1047,2026-01-14,70,4,0
900234,1047,2026-02-08,37,7,0
900235,1047,2026-02-21,59,7,0
900236,1048,2026-05-02,29,4,0
900237,1048,2026-04-19,94,4,0
900238,1048,2026-04-17,82,4,1
900239,1048,2026-04-24,44,3,0
900240,1048,2026-04-08,81,7,0
900241,1049,2026-03-04,78,5,0
900242,1049,2026-03-08,38,7,0
900243,1049,2026-03-12,69,1,0
900244,1049,2026-03-05,20,2,0
900245,1049,2026-04-30,98,2,0
900246,1050,2026-05-29,74,7,0
900247,1050,2026-05-26,21,3,0
900248,1050,2026-05-25,91,4,0
900249,1050,2026-05-30,82,5,0
900250,1050,2026-05-25,87,7,0
900251,1051,2025-05-01,98,5,0
900252,1051,2025-04-10,43,5,0
900253,1051,2025-05-02,105,7,0
900254,1051,2025-02-13,79,1,0
900255,1051,2025-03-27,84,1,0
900256,1052,2025-08-24,29,2,0
900257,1052,2026-04-03,49,5,0
900258,1052,2025-11-20,62,7,0
900259,1052,2026-02-22,75,4,0
900260,1052,2026-03-20,111,7,0
900261,1053,2026-02-10,42,6,0
900262,1053,2025-11-10,28,7,1
900263,1053,2026-02-11,77,3,0
900264,1053,2026-01-06,83,7,0
900265,1053,2025-09-17,54,7,0
900266,1054,2026-04-29,104,6,0
900267,1054,2026-04-30,97,3,0
900268,1054,2026-05-09,25,4,0
900269,1054,2026-04-05,117,6,0
900270,1054,2026-02-17,70,1,0
900271,1055,2025-02-13,38,5,0
900272,1055,2025-05-03,45,5,0
900273,1055,2025-06-06,101,4,0
900274,1055,2025-04-11,36,4,0
900275,1055,2025-02-14,112,4,0
900276,1056,2026-04-23,12,3,1
900277,1056,2026-02-20,26,1,1
900278,1056,2026-03-26,7,7,2
900279,1056,2026-04-02,23,7,0
900280,1056,2026-02-01,23,7,0
900281,1057,2025-05-16,107,2,0
900282,1057,2025-05-08,59,6,0
900283,1057,2025-05-23,46,3,0
900284,1057,2025-06-23,90,3,0
900285,1057,2025-06-01,32,3,1
900286,1058,2026-05-19,92,2,1
900287,1058,2026-04-25,37,3,0
900288,1058,2026-05-07,29,1,0
900289,1058,2026-05-22,22,6,0
900290,1058,2026-05-05,34,2,0
900291,1059,2026-03-04,113,3,0
900292,1059,2026-03-16,45,1,0
900293,1059,2026-02-09,20,3,0
900294,1059,2026-03-27,30,2,1
900295,1059,2026-04-05,55,7,0
900296,1060,2026-05-01,51,2,0
900297,1060,2025-08-13,67,2,0
900298,1060,2026-05-13,79,5,0
900299,1060,2026-02-22,52,6,1
900300,1060,2025-07-05,78,4,0
900301,1061,2025-12-27,22,1,0
900302,1061,2025-12-14,48,2,0
900303,1061,2025-07-22,36,4,0
900304,1061,2025-09-19,95,4,0
900305,1061,2025-11-28,69,4,0
900306,1062,2026-05-10,107,1,0
900307,1062,2026-04-28,108,4,0
900308,1062,2025-11-26,70,3,0
900309,1062,2026-04-28,77,7,0
900310,1062,2026-05-03,50,1,0
900311,1063,2026-04-27,73,7,0
900312,1063,2026-02-01,94,6,0
900313,1063,2026-05-12,41,5,0
900314,1063,2025-11-09,46,5,0
900315,1063,2025-11-12,23,5,0
900316,1064,2026-05-15,77,7,0
900317,1064,2026-05-26,63,4,0
900318,1064,2026-05-13,36,6,0
900319,1064,2026-04-21,96,3,0
900320,1064,2026-04-16,21,2,1
900321,1065,2026-05-18,100,7,0
900322,1065,2026-04-30,32,3,0
900323,1065,2026-04-13,73,6,0
900324,1065,2026-04-24,21,2,0
900325,1065,2026-05-26,52,6,0
900326,1066,2026-01-09,68,1,0
900327,1066,2025-10-28,31,7,0
900328,1066,2025-11-01,88,3,0
900329,1066,2025-11-06,77,7,0
900330,1066,2025-11-04,109,4,0
900331,1067,2025-11-01,98,5,0
900332,1067,2025-12-29,72,4,0
900333,1067,2025-12-12,98,1,0
900334,1067,2026-02-07,66,2,0
900335,1067,2026-04-24,20,3,0
900336,1068,2026-03-02,80,5,0
900337,1068,2026-04-04,33,2,0
900338,1068,2026-05-13,22,7,0
900339,1068,2026-02-26,87,5,0
900340,1068,2026-05-23,45,1,0
900341,1069,2025-12-25,52,1,0
900342,1069,2025-12-03,50,7,0
900343,1069,2025-06-13,96,4,0
900344,1069,2025-07-09,60,7,0
900345,1069,2025-05-09,71,2,0
900346,1070,2025-12-02,79,7,0
900347,1070,2026-01-03,80,7,0
900348,1070,2025-09-03,115,5,0
900349,1070,2025-08-11,111,5,0
900350,1070,2026-01-31,88,1,0
900351,1071,2026-02-09,81,7,0
900352,1071,2025-08-17,92,3,0
900353,1071,2025-10-29,70,2,0
900354,1071,2026-02-17,43,1,0
900355,1071,2025-11-24,40,3,0
900356,1072,2026-05-22,61,5,0
900357,1072,2026-01-23,116,2,0
900358,1072,2026-02-02,112,6,0
900359,1072,2026-01-31,87,6,0
900360,1072,2026-04-08,70,2,0
900361,1073,2026-05-11,100,7,0
900362,1073,2026-05-12,116,3,0
900363,1073,2026-05-20,109,6,0
900364,1073,2026-05-10,90,1,0
900365,1073,2026-05-30,30,1,0
900366,1074,2025-11-11,28,1,0
900367,1074,2025-11-19,64,2,0
900368,1074,2025-06-14,20,4,0
900369,1074,2025-02-15,24,3,1
900370,1074,2025-04-30,101,1,0
900371,1075,2025-08-26,114,1,0
900372,1075,2025-09-24,76,7,0
900373,1075,2025-06-21,57,1,0
900374,1075,2025-10-18,72,7,0
900375,1075,2025-09-25,57,6,1
900376,1076,2025-01-31,65,3,0
900377,1076,2025-07-30,42,7,0
900378,1076,2025-04-18,80,7,0
900379,1076,2026-03-01,108,5,0
900380,1076,2025-10-13,74,5,0
900381,1077,2025-03-12,88,5,0
900382,1077,2025-05-25,25,1,0
900383,1077,2026-04-12,85,2,0
900384,1077,2026-04-09,96,5,0
900385,1077,2025-12-18,91,3,0
900386,1078,2026-04-19,119,3,0
900387,1078,2025-12-24,112,6,0
900388,1078,2026-03-22,62,1,0
900389,1078,2026-02-07,84,5,0
900390,1078,2026-02-21,114,3,0
900391,1079,2025-07-31,24,5,0
900392,1079,2025-07-25,33,4,0
900393,1079,2025-07-30,23,6,0
900394,1079,2025-08-11,72,5,0
900395,1079,2025-07-07,93,7,0
900396,1080,2026-05-12,80,5,0
900397,1080,2026-05-05,51,6,0
900398,1080,2026-05-15,57,7,1
900399,1080,2026-04-27,70,3,0
900400,1080,2026-04-24,94,1,0
900401,1081,2025-12-09,80,2,0
900402,1081,2025-12-26,95,1,0
900403,1081,2025-08-14,111,6,0
900404,1081,2025-08-20,105,1,0
900405,1081,2025-03-21,99,7,0
900406,1082,2026-02-27,54,7,0
900407,1082,2025-12-06,90,6,0
900408,1082,2025-10-28,29,2,0
900409,1082,2025-12-02,44,4,0
900410,1082,2026-03-30,26,6,0
900411,1083,2026-05-27,40,1,1
900412,1083,2026-05-14,22,3,0
900413,1083,2026-05-22,89,6,0
900414,1083,2026-05-25,116,7,0
900415,1083,2026-05-18,96,7,1
900416,1084,2026-05-05,79,2,0
900417,1084,2026-05-03,50,5,0
900418,1084,2026-03-26,116,7,0
900419,1084,2026-03-28,82,2,0
900420,1084,2026-02-12,90,2,0
900421,1085,2026-04-07,44,4,0
900422,1085,2026-05-28,57,5,0
900423,1085,2026-04-26,22,5,0
900424,1085,2026-05-19,36,6,0
900425,1085,2026-05-11,54,2,0
900426,1086,2026-04-02,26,7,0
900427,1086,2025-12-14,56,2,0
900428,1086,2026-02-04,114,2,0
900429,1086,2026-02-17,76,6,0
900430,1086,2026-05-23,93,2,1
900431,1087,2026-02-23,36,2,0
900432,1087,2026-05-03,71,6,0
900433,1087,2026-01-17,25,6,0
900434,1087,2026-02-08,36,4,0
900435,1087,2026-02-13,54,7,0
900436,1088,2026-05-19,81,1,0
900437,1088,2026-05-13,54,4,0
900438,1088,2026-05-17,47,7,0
900439,1088,2026-05-10,34,5,0
900440,1088,2026-05-24,116,3,0
900441,1089,2026-01-04,20,7,0
900442,1089,2025-08-19,92,5,0
900443,1089,2025-09-13,112,4,0
900444,1089,2025-10-08,86,1,0
900445,1089,2026-01-20,59,1,0
900446,1090,2025-08-01,93,7,0
900447,1090,2026-03-19,55,3,0
900448,1090,2026-03-07,57,3,0
900449,1090,2026-02-02,85,7,0
900450,1090,2026-01-23,62,2,1
900451,1091,2025-07-04,62,7,0
900452,1091,2025-03-17,60,2,1
900453,1091,2025-04-14,88,5,0
900454,1091,2025-04-28,51,4,0
900455,1091,2025-12-13,82,5,0
900456,1092,2025-05-16,85,2,0
900457,1092,2025-09-22,87,7,0
900458,1092,2025-10-14,30,5,0
900459,1092,2025-05-31,42,4,1
900460,1092,2025-07-01,21,7,0
900461,1093,2026-02-06,51,4,0
900462,1093,2025-08-17,65,2,0
900463,1093,2025-09-18,90,6,0
900464,1093,2026-03-19,112,1,0
900465,1093,2025-08-09,101,7,0
900466,1094,2025-10-08,76,7,0
900467,1094,2025-02-13,111,1,0
900468,1094,2025-12-24,24,1,0
900469,1094,2025-04-28,42,4,0
900470,1094,2025-07-31,66,3,0
900471,1095,2025-08-20,36,4,0
900472,1095,2025-11-08,92,4,0
900473,1095,2025-04-05,114,6,0
900474,1095,2025-05-01,41,5,0
900475,1095,2025-09-12,112,6,0
900476,1096,2026-05-25,71,2,1
900477,1096,2026-05-30,82,1,0
900478,1096,2026-05-21,95,6,0
900479,1096,2026-05-26,87,4,0
900480,1096,2026-05-24,76,2,1
900481,1097,2026-04-05,100,6,1
900482,1097,2026-03-04,85,7,0
900483,1097,2026-04-24,35,6,0
900484,1097,2026-03-07,42,5,0
900485,1097,2026-05-06,87,1,0
900486,1098,2025-12-17,41,3,1
900487,1098,2025-08-24,80,3,0
900488,1098,2025-12-30,24,2,0
900489,1098,2025-10-16,78,7,0
900490,1098,2025-07-06,69,5,0
900491,1099,2026-05-08,71,3,0
900492,1099,2026-04-16,89,3,0
900493,1099,2026-05-22,72,3,0
900494,1099,2026-05-10,60,1,0
900495,1099,2026-05-23,73,7,0
900496,1100,2025-09-29,90,1,0
900497,1100,2025-09-14,29,7,0
900498,1100,2025-11-16,69,5,0
900499,1100,2025-08-02,99,5,0
900500,1100,2026-02-21,99,3,0
900501,1101,2025-12-11,75,5,0
900502,1101,2026-04-14,67,4,0
900503,1101,2026-05-14,31,5,0
900504,1101,2026-05-30,73,2,1
900505,1101,2026-04-25,34,1,0
900506,1102,2026-05-26,98,6,0
900507,1102,2026-05-28,98,5,0
900508,1102,2026-05-24,112,6,0
900509,1102,2026-05-22,88,6,0
900510,1102,2026-05-21,118,1,0
900511,1103,2026-02-16,56,5,0
900512,1103,2026-05-13,54,4,0
900513,1103,2026-04-29,113,2,1
900514,1103,2026-05-28,83,2,0
900515,1103,2026-03-21,59,7,0
900516,1104,2026-03-16,102,7,0
900517,1104,2026-04-11,39,5,0
900518,1104,2026-03-16,73,2,0
900519,1104,2026-04-15,48,2,0
900520,1104,2026-04-30,67,2,0
900521,1105,2026-04-01,31,7,0
900522,1105,2025-10-18,69,4,1
900523,1105,2025-10-25,56,5,0
900524,1105,2026-04-03,118,5,0
900525,1105,2026-01-09,69,1,0
900526,1106,2025-06-13,38,7,0
900527,1106,2025-05-09,61,3,0
900528,1106,2025-04-06,77,2,0
900529,1106,2025-03-22,106,3,0
900530,1106,2025-03-10,77,4,0
900531,1107,2026-04-30,91,1,0
900532,1107,2026-05-21,102,5,0
900533,1107,2026-04-21,40,4,0
900534,1107,2026-05-15,81,6,0
900535,1107,2026-04-11,61,2,0
900536,1108,2025-09-14,76,2,0
900537,1108,2025-10-15,110,7,0
900538,1108,2025-11-26,50,7,1
900539,1108,2025-09-03,90,2,0
900540,1108,2025-10-20,62,4,0
900541,1109,2025-06-14,13,5,1
900542,1109,2025-05-04,29,1,0
900543,1109,2025-06-08,20,4,2
900544,1109,2025-06-24,25,4,1
900545,1109,2025-05-13,21,6,2
900546,1110,2026-05-28,49,1,0
900547,1110,2026-05-14,49,2,0
900548,1110,2026-05-09,43,3,0
900549,1110,2026-05-06,37,5,0
900550,1110,2026-05-12,106,4,0
900551,1111,2026-04-28,70,6,0
900552,1111,2026-02-17,43,3,0
900553,1111,2026-05-04,28,3,0
900554,1111,2026-03-18,112,7,0
900555,1111,2026-04-20,61,7,0
900556,1112,2025-09-22,79,2,0
900557,1112,2026-04-27,99,1,0
900558,1112,2025-12-27,103,6,0
900559,1112,2026-04-27,89,3,0
900560,1112,2026-02-20,70,3,0
900561,1113,2026-02-13,46,5,0
900562,1113,2025-08-03,44,2,0
900563,1113,2025-12-25,116,6,0
900564,1113,2025-11-08,33,1,0
900565,1113,2025-09-07,98,1,0
900566,1114,2026-03-01,63,2,0
900567,1114,2025-11-03,64,3,0
900568,1114,2025-05-08,41,1,0
900569,1114,2025-12-04,64,5,0
900570,1114,2025-02-13,55,5,0
900571,1115,2026-05-18,26,1,0
900572,1115,2026-02-22,98,7,0
900573,1115,2026-02-09,78,6,0
900574,1115,2026-03-08,41,5,0
900575,1115,2026-05-11,69,3,0
900576,1116,2025-10-06,45,2,0
900577,1116,2025-09-07,23,5,0
900578,1116,2026-01-26,34,5,0
900579,1116,2025-10-12,76,2,0
900580,1116,2025-11-30,87,5,0
900581,1117,2025-12-28,61,4,0
900582,1117,2025-04-10,87,3,0
900583,1117,2025-06-27,71,7,0
900584,1117,2025-09-23,71,3,0
900585,1117,2025-05-08,61,4,0
900586,1118,2025-03-17,74,7,0
900587,1118,2025-11-13,88,7,0
900588,1118,2025-07-21,47,3,0
900589,1118,2025-05-09,50,5,0
900590,1118,2026-04-15,94,5,0
900591,1119,2026-01-04,108,6,0
900592,1119,2026-04-27,75,1,0
900593,1119,2026-02-17,66,7,0
900594,1119,2026-01-27,21,2,0
900595,1119,2026-05-01,91,6,0
900596,1120,2026-03-21,79,2,0
900597,1120,2026-03-02,79,2,0
900598,1120,2025-12-15,41,5,0
900599,1120,2026-05-06,54,3,0
900600,1120,2026-04-03,29,3,0
900601,1121,2026-05-30,96,5,0
900602,1121,2026-05-24,76,1,0
900603,1121,2026-05-22,67,7,0
900604,1121,2026-05-21,31,5,0
900605,1121,2026-05-23,63,6,1
900606,1122,2026-01-17,38,3,1
900607,1122,2025-12-21,86,6,1
900608,1122,2026-01-11,42,2,0
900609,1122,2026-01-28,45,2,0
900610,1122,2025-12-17,86,7,0
900611,1123,2026-05-06,47,3,0
900612,1123,2026-05-24,32,5,1
900613,1123,2026-05-30,34,1,0
900614,1123,2026-05-15,41,6,0
900615,1123,2026-05-24,116,4,0
900616,1124,2026-04-08,76,1,0
900617,1124,2026-03-20,96,3,0
900618,1124,2026-02-26,113,3,0
900619,1124,2025-11-27,79,2,0
900620,1124,2026-04-25,118,2,0
900621,1125,2026-05-11,43,2,0
900622,1125,2026-01-12,110,2,0
900623,1125,2026-03-21,39,1,0
900624,1125,2025-09-17,21,1,0
900625,1125,2025-08-20,104,7,0
900626,1126,2025-08-14,83,6,0
900627,1126,2026-05-23,93,3,1
900628,1126,2025-11-22,44,6,0
900629,1126,2025-09-28,49,4,0
900630,1126,2026-01-18,45,3,0
900631,1127,2026-03-19,31,7,0
900632,1127,2026-01-25,109,5,0
900633,1127,2026-04-02,33,4,0
900634,1127,2026-05-05,45,5,0
900635,1127,2026-05-08,66,7,0
900636,1128,2026-01-28,115,4,0
900637,1128,2026-01-31,85,4,0
900638,1128,2026-05-02,77,5,0
900639,1128,2026-01-17,69,6,0
900640,1128,2026-05-01,39,6,0
900641,1129,2025-11-11,55,7,0
900642,1129,2026-03-18,58,5,0
900643,1129,2025-11-02,107,7,1
900644,1129,2025-12-02,99,3,0
900645,1129,2025-11-10,89,1,0
900646,1130,2026-05-18,32,2,0
900647,1130,2026-01-18,119,2,0
900648,1130,2025-09-20,37,6,1
900649,1130,2026-01-14,29,5,0
900650,1130,2026-03-11,74,1,0
900651,1131,2026-03-28,45,6,0
900652,1131,2026-04-21,94,6,0
900653,1131,2026-03-19,22,4,0
900654,1131,2026-04-28,37,3,0
900655,1131,2026-03-11,24,7,0
900656,1132,2026-05-12,114,5,1
900657,1132,2026-04-14,108,1,0
900658,1132,2026-05-03,35,4,0
900659,1132,2026-05-28,25,4,0
900660,1132,2026-04-25,75,4,0
900661,1133,2026-02-23,91,6,0
900662,1133,2026-03-19,74,4,0
900663,1133,2026-04-12,23,4,0
900664,1133,2026-04-05,97,6,0
900665,1133,2026-03-15,60,6,0
900666,1134,2026-01-13,32,3,0
900667,1134,2026-05-04,114,3,0
900668,1134,2025-12-20,57,3,0
900669,1134,2026-02-08,108,7,0
900670,1134,2026-03-19,31,5,1
900671,1135,2026-02-16,65,6,0
900672,1135,2025-09-21,70,6,0
900673,1135,2025-12-23,47,2,1
900674,1135,2025-11-04,81,5,0
900675,1135,2026-05-19,57,5,0
900676,1136,2025-11-18,104,1,0
900677,1136,2026-04-25,41,3,0
900678,1136,2025-10-28,84,6,0
900679,1136,2025-09-10,119,4,0
900680,1136,2025-11-06,47,5,0
900681,1137,2026-05-12,70,4,0
900682,1137,2026-04-14,36,3,0
900683,1137,2026-05-17,83,5,0
900684,1137,2026-05-20,35,7,0
900685,1137,2026-03-25,36,5,1
900686,1138,2026-05-01,98,2,0
900687,1138,2026-04-22,39,1,0
900688,1138,2026-04-21,97,1,0
900689,1138,2026-05-05,32,6,0
900690,1138,2026-05-13,25,1,0
900691,1139,2025-10-21,90,2,1
900692,1139,2025-09-15,38,1,0
900693,1139,2025-09-09,69,6,0
900694,1139,2025-11-09,31,2,0
900695,1139,2026-04-01,40,6,0
900696,1140,2026-04-09,81,6,0
900697,1140,2025-07-18,34,5,0
900698,1140,2025-10-31,99,7,0
900699,1140,2026-03-14,32,4,0
900700,1140,2026-02-19,82,2,0
900701,1141,2026-05-16,23,7,0
900702,1141,2026-05-13,27,7,1
900703,1141,2026-05-12,27,6,0
900704,1141,2026-05-24,5,7,1
900705,1141,2026-05-24,17,6,0
900706,1142,2026-04-04,29,7,0
900707,1142,2026-05-16,42,6,1
900708,1142,2026-05-24,89,4,0
900709,1142,2026-04-25,89,2,0
900710,1142,2026-04-10,84,6,0
900711,1143,2026-02-18,74,4,0
900712,1143,2025-11-10,113,6,0
900713,1143,2026-01-15,51,1,0
900714,1143,2026-03-09,29,3,1
900715,1143,2025-12-23,39,1,0
900716,1144,2026-05-29,65,4,0
900717,1144,2026-05-26,116,3,0
900718,1144,2026-05-26,67,5,0
900719,1144,2026-05-27,79,2,0
900720,1144,2026-05-26,93,2,0
900721,1145,2026-01-22,61,4,0
900722,1145,2026-03-03,87,5,0
900723,1145,2026-04-05,66,5,0
900724,1145,2026-03-10,53,1,0
900725,1145,2026-02-08,36,4,0
900726,1146,2026-02-14,36,5,0
900727,1146,2026-02-10,109,7,0
900728,1146,2026-03-13,32,3,1
900729,1146,2026-04-04,45,1,0
900730,1146,2026-02-24,32,5,0
900731,1147,2026-02-08,97,3,0
900732,1147,2026-04-26,86,6,0
900733,1147,2025-07-17,95,6,0
